,,"COSMIC GROUP - GUNPLA",,,
,,,,,
"SITUAZIONE AGGIORNATA AL 25/07/2011",,,,,
,,,,,
"CODICE COSMIC ","IMMAGINE","ARTICOLO","JAN CODE","DATA PRESUNTA DI ARRIVO","PREZZO SUGGERITO AL PUBBLICO"
,,,,,
19777,"Clicca qui"," HG BLU DUEL","0145938","AGOSTO 2011","€ 19,20"
19770,"Clicca qui"," HG STARGAZER GUNDAM","0146748","AGOSTO 2011","€ 19,20"
19601,"Clicca qui"," 1/144 HGUC DOM TROPEN","0078209","AGOSTO 2011","€ 18,00"
19568,"Clicca qui"," 1/144 HGUC RX-78 GP01Fb","0078213","AGOSTO 2011","€ 18,00"
19565,"Clicca qui"," 1/144 HGUC MS-09F DOMTROPEN","0107723","AGOSTO 2011","€ 19,20"
19414,"Clicca qui"," 1/144 HGUC RX-78 GP-03 DENDROBIUM","0107985","AGOSTO 2011","€ 336,00"
19348,"Clicca qui"," 1/144 HGUC RX-178 GUNDAM MK-Ⅱ","0110534","AGOSTO 2011","€ 12,00"
19326,"Clicca qui"," 1/144 HGUC PMX-003 THE. O","0114213","AGOSTO 2011","€ 28,80"
19196,"Clicca qui"," 1/144 HGUC PSYCHO GUNDAM","0126800","AGOSTO 2011","€ 60,00"
19088,"Clicca qui"," 1/144 HGUC DOM/ RICKDOM","0141037","AGOSTO 2011","€ 20,40"
19016,"Clicca qui"," 1/144 HGUC GUNDAM GP-02A","0145069","AGOSTO 2011","€ 24,00"
18774,"Clicca qui"," 1/144 HGUC CHAR'S GELGOOG","0146727","AGOSTO 2011","€ 18,00"
18678,"Clicca qui"," 1/144 HGUC NZ-666 KSYATRIYA","0160542","AGOSTO 2011","€ 54,00"
18302,"Clicca qui"," 1/144 HGUC GUNDAM V-OPERATIONS SET","0104030","AGOSTO 2011","€ 31,20"
17946,"Clicca qui"," 1/144 HGUC RX-0 UNICORN GUNDAM(DESTROY MODE)+UNICORN HEAD","0163114","AGOSTO 2011","€ 27,60"
17865,"Clicca qui"," 1/144 HGUC RX-0 UNICORN GUNDAM(UNICORN MODE)+UNICORN HEAD","0163115","AGOSTO 2011","€ 24,00"
17716,"Clicca qui"," MG 1/100 GUNDAM","0048129","AGOSTO 2011","€ 30,00"
17686,"Clicca qui"," MG 1/100 MS-06S ZAKUⅡ","0048290","AGOSTO 2011","€ 30,00"
17627,"Clicca qui"," MG 1/100 GUNDAM GP01","0057919","AGOSTO 2011","€ 30,00"
17582,"Clicca qui"," MG 1/100 GUNDAM GP02A","0061220","AGOSTO 2011","€ 48,00"
17573,"Clicca qui"," MG 1/100 GUNDAM NT-1","0070949","AGOSTO 2011","€ 36,00"
17550,"Clicca qui"," MG 1/100 ZZ GUNDAM","0071690","AGOSTO 2011","€ 48,00"
17420,"Clicca qui"," MG 1/100 RX-78 GUNDAM (Ver.1.5)","0076372","AGOSTO 2011","€ 36,00"
17404,"Clicca qui"," MG 1/100 MSN-04 SAZABI","0077072","AGOSTO 2011","€ 96,00"
17390,"Clicca qui"," MG 1/100 Nu-GUNDAM","0078212","AGOSTO 2011","€ 60,00"
17344,"Clicca qui"," MG 1/100 MS-18E KAMPFER","0100366","AGOSTO 2011","€ 48,00"
17241,"Clicca qui"," MG 1/100 MS-07B3 GOUFCUSTOM","0100567","AGOSTO 2011","€ 36,00"
17183,"Clicca qui"," MG 1/100 GF13-017NJⅡ G GUNDAM","0106042","AGOSTO 2011","€ 30,00"
17153,"Clicca qui"," MG 1/100 RGM-79C GM TYPE C","0111900","AGOSTO 2011","€ 30,00"
17089,"Clicca qui"," MG 1/100 RGM-79C GM (SPACE USE)","0114214","AGOSTO 2011","€ 30,00"
17080,"Clicca qui"," MG 1/100 Z'GOCK MASS PRODUCTION TYPE","0119252","AGOSTO 2011","€ 36,00"
16941,"Clicca qui"," MG 1/100 RX-78-4 GUNDAM","0120466","AGOSTO 2011","€ 33,60"
16905,"Clicca qui"," MG 1/100 RX-78-5 GUNDAM","0120467","AGOSTO 2011","€ 33,60"
16870,"Clicca qui"," MG 1/100 ACGUY","0134108","AGOSTO 2011","€ 48,00"
16785,"Clicca qui"," MG 1/100 GUNDAM MK2 VER.2.0","0138412","AGOSTO 2011","€ 48,00"
16774,"Clicca qui"," ＭＧ STRIKE GUNDAM +ＩＷＳＰ","0146728","AGOSTO 2011","€ 50,40"
16715,"Clicca qui"," MG CROSSBONE FULL CLOTH","0148827","AGOSTO 2011","€ 54,00"
16653,"Clicca qui"," MG CHAR'S GELGOOG ver.2.0","0150530","AGOSTO 2011","€ 54,00"
16625,"Clicca qui"," MG TURN A GUNDAM","0150536","AGOSTO 2011","€ 45,60"
16491,"Clicca qui"," MG LAUNCHER / SWORD STRIKE GUNDAM","0153801","AGOSTO 2011","€ 60,00"
16384,"Clicca qui"," MG 1/100 GUNDAM ASTRAY BLUE FRAME 2nd REVISE","0160998","AGOSTO 2011","€ 57,60"
16328,"Clicca qui"," MG GUNDAM Ｏ.Ｙ.Ｗ. (ANIME COLOR)","0150539","AGOSTO 2011","€ 38,40"
16201,"Clicca qui"," MG STRIKE FREEDOM GUNDAM (SPECIAL VER.)","0100741","AGOSTO 2011","€ 84,00"
16134,"Clicca qui"," 1/60 PG STRIKE GUNDAM","0131413","AGOSTO 2011","€ 168,00"
16106,"Clicca qui"," 1/60 PG STRIKE ROUGE + SKYGRASPER","0138257","AGOSTO 2011","€ 228,00"
16099,"Clicca qui"," 1/60 PG GUNDAM ASTRAY RED FRAME","0158463","AGOSTO 2011","€ 216,00"
15959,"Clicca qui"," BB360 RX-0 UNICORN GUNDAM","0161945","AGOSTO 2011","€ 12,00"
15930,"Clicca qui"," BB365 SINANJU","0167087","AGOSTO 2011","€ 12,00"
15792,"Clicca qui"," 1/48 RX-78-2 GUNDAM","0162027","AGOSTO 2011","€ 93,60"
15761,"Clicca qui"," GD84 RG RX-78-2 GUNDAM","0164259","AGOSTO 2011","€ 4,80"
15692,"Clicca qui"," GD85 HGUC SINANJU","0166799","AGOSTO 2011","€ 4,80"
41209,"Clicca qui"," BB360 RX-0 UNICORN GUNDAM","0161945","AGOSTO 2011","€ 12,00"
39822,"Clicca qui"," BB365 SINANJU","0167087","AGOSTO 2011","€ 12,00"
