,,,,,,
,,,,"NOME NEGOZIO",,
,,,,,,
"CODICE","IMMAGINE","QUANTITA'","JAN CODE","DESCRIZIONE ","PREZZO ","PREZZO"
"COSMIC",,"ORDINE",,,"REGOLARE","SUGGERITO"
,,,,"OO",,
24225,"Clicca qui",,"0162025"," 1/144 HGUC F2-ZAKU (ZEON TYPE)","€ 9,00","€ 18,00"
23945,"Clicca qui",,"0162048"," 1/144 HGUC F2-ZAKU (EARTH FEDERATION TYPE)","€ 9,00","€ 18,00"
18475,"Clicca qui",,"0163276"," 1/144 HGUC ZZ GUNDAM","€ 13,80","€ 27,60"
23917,"Clicca qui",,"0164563"," 1/144 HGUC GM TYPE C","€ 7,20","€ 14,40"
23907,"Clicca qui",,"0164265"," 1/144 HGUC ?(DELTA) PLUS","€ 13,20","€ 26,40"
23848,"Clicca qui",,"0165297"," 1/144 HGUC SINANJU","€ 15,60","€ 31,20"
18308,"Clicca qui",,"0165503"," 1/144 HGUC GOUF CUSTOM","€ 9,60","€ 19,20"
18302,"Clicca qui",,"0104030"," 1/144 HGUC GUNDAM V-OPERATIONS SET","€ 15,60","€ 31,20"
17827,"Clicca qui",,"0072385"," 1/144 FG GUNDAM","€ 1,80","€ 3,60"
17798,"Clicca qui",,"0071694"," 1/144 FG CHAR'S ZAKU","€ 1,80","€ 3,60"
17748,"Clicca qui",,"0076159"," 1/144 FG MS-06F/J ZAKU?","€ 1,80","€ 3,60"
,,,,"MG",,
23321,"Clicca qui",,"0107017"," MG 1/100 RX-77-2 GUNCANNON","€ 18,00","€ 36,00"
17210,"Clicca qui",,"0109464"," MG 1/100 MS-06 F2 ZAKU?","€ 18,00","€ 36,00"
17153,"Clicca qui",,"0111900"," MG 1/100 RGM-79C GM TYPE C","€ 15,00","€ 30,00"
17131,"Clicca qui",,"0113781"," MG 1/100 MS-06 F2 ZAKU?(EARTH FEDERATION)","€ 18,00","€ 36,00"
17089,"Clicca qui",,"0114214"," MG 1/100 RGM-79C GM (SPACE USE)","€ 15,00","€ 30,00"
17065,"Clicca qui",,"0116408"," MG 1/100 MS-14 GATO'S GELGOGG","€ 21,00","€ 42,00"
23184,"Clicca qui",,"0122718"," MG 1/100 MSM-07 Z'GOK(CHAR'S CUSTOM)","€ 18,00","€ 36,00"
28635,"Clicca qui",,"0126794"," MG 1/100 FREEDOM GUNDAM","€ 22,80","€ 45,60"
23084,"Clicca qui",,"0129454"," MG 1/100 W GUNDAM ZERO CUSTOM","€ 22,80","€ 45,60"
16785,"Clicca qui",,"0138412"," MG 1/100 GUNDAM MK2 VER.2.0","€ 24,00","€ 48,00"
22758,"Clicca qui",,"0139597"," MG 1/100 ZETA GUNDAM VER.2.0","€ 30,00","€ 60,00"
16774,"Clicca qui",,"0146728"," MG STRIKE GUNDAM +IWSP","€ 25,20","€ 50,40"
22730,"Clicca qui",,"0148083"," MG STRIKE FREEDOM GUNDAM","€ 28,80","€ 57,60"
19678,"Clicca qui",,"0148832"," MG HI NU GUNDAM","€ 42,00","€ 84,00"
22713,"Clicca qui",,"0149252"," MG ZAKU II VER. 2.0","€ 21,00","€ 42,00"
22593,"Clicca qui",,"0149834"," MG MS-06S CHAR'S ZAKU ver. 2.0","€ 21,00","€ 42,00"
22480,"Clicca qui",,"0151243"," MG DESTINY GUNDAM","€ 28,80","€ 57,60"
22385,"Clicca qui",,"0152373"," MG MS06R ZAKU BLACK TRI-STARS Ver. 2.0","€ 27,00","€ 54,00"
16491,"Clicca qui",,"0153801"," MG LAUNCHER / SWORD STRIKE GUNDAM","€ 30,00","€ 60,00"
